,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
20,BIOC_S0006349515006736,4345,734,79,137,81,109,93,83,36,59,28,22,16,11,10,17,13,7,2,0
21,BIOC_S0012160615002109,5333,1131,169,190,152,125,108,73,68,48,38,18,34,27,10,23,33,10,10,1
22,BIOC_S0047637415000068,2957,667,153,143,107,92,135,71,8,95,21,7,27,18,8,2,19,6,2,1
23,BIOC_S0079610715000139,1511,331,68,30,30,22,27,20,6,10,7,5,4,5,1,2,10,3,0,0
24,BIOC_S009286741930457X,8799,1424,303,278,284,213,283,171,112,69,67,38,45,42,18,28,18,22,13,2
25,BIOC_S0167488918302519,6038,1224,92,288,223,183,236,149,44,73,32,12,67,25,25,6,46,14,8,4
26,BIOC_S0168952514000559,2216,606,50,104,136,70,65,49,13,51,19,20,10,13,13,8,5,5,1,0
27,BIOC_S0378111913016995,5402,1284,163,177,146,152,88,76,60,98,24,20,43,40,34,31,24,24,7,4
28,BIOC_S089865681400312X,3518,704,66,136,99,108,53,81,63,48,23,19,24,20,43,44,21,6,4,2
29,BIOC_S0945053X1730094X,3137,625,38,88,130,106,108,93,47,40,29,15,21,12,14,15,17,9,1,1
30,BIOC_S1097276516304166,3649,651,124,113,106,82,155,97,15,33,9,15,30,9,3,17,10,5,1,1
31,BIOC_S1934590915002234,3745,680,86,107,158,135,90,71,31,36,20,15,26,11,15,10,9,12,5,2
32,BIOC_S2211124715012462,3712,719,156,119,116,98,160,70,54,64,35,13,74,24,15,23,11,11,5,1
33,BIOC_S2212877815000770,2633,561,39,64,108,47,74,55,45,22,29,6,6,3,9,11,13,1,0,1
34,BIOC_S2212877818304861,3647,707,78,106,106,77,72,103,66,58,51,36,14,7,10,15,4,7,1,0
35,BIOC_S2212877819301309,2085,462,73,72,43,74,30,40,51,9,13,7,16,6,1,32,11,6,5,0
36,BIOC_S2213671118300341,3079,527,93,84,98,69,68,80,24,31,15,4,11,14,9,19,13,4,4,0
37,BIOC_S2352396414000024,2901,628,137,89,118,62,88,46,46,33,36,17,21,14,11,13,18,4,6,0
38,BIOC_S2352396415000997,3295,589,99,67,117,81,107,60,68,18,32,21,15,6,7,14,10,7,4,0
39,BIOC_S2352396417302906,2419,437,244,79,50,51,137,45,40,12,27,10,17,10,0,8,10,8,3,0
40,BUSI_S0019850116303431,3767,973,488,92,101,91,88,207,47,81,47,57,26,13,13,40,10,5,13,1
41,BUSI_S0148296315003240,4027,613,362,162,153,117,105,142,19,79,36,22,30,32,14,22,9,6,11,5
